algorithm,label,num_vertices,num_edges,density,source,target,seed,repetitions,found,cost,mean_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_time_ms,nodes_processed,nodes_popped,edges_examined,relaxations,queue_pushes,max_queue_size
dijkstra,near,3000,21188,0.002355,0,2115,123,30,1,155.069511,0.007400,0.006500,0.006200,0.025400,0.003630,149,181,1031,247,248,68
astar_euclidean,near,3000,21188,0.002355,0,2115,123,30,1,155.069511,0.003027,0.002800,0.002700,0.006900,0.000778,21,24,138,50,51,30
dijkstra,medium,3000,21188,0.002355,0,1611,123,30,1,443.786926,0.135243,0.118650,0.099200,0.241400,0.039000,1407,1854,10012,2001,2002,174
astar_euclidean,medium,3000,21188,0.002355,0,1611,123,30,1,443.786926,0.011953,0.010400,0.005800,0.067100,0.011470,71,82,495,164,165,84
dijkstra,far,3000,21188,0.002355,0,1281,123,30,1,771.622609,0.279620,0.270050,0.241500,0.403900,0.039279,2826,3771,19948,3839,3840,180
astar_euclidean,far,3000,21188,0.002355,0,1281,123,30,1,771.622609,0.024833,0.021200,0.020300,0.066500,0.010420,329,472,2329,656,657,187
