algorithm,label,num_vertices,num_edges,density,source,target,seed,repetitions,found,cost,mean_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_time_ms,nodes_processed,nodes_popped,edges_examined,relaxations,queue_pushes,max_queue_size
dijkstra,n/a,3000,21272,0.002364,0,2999,99,30,1,826.313740,0.192733,0.181500,0.174600,0.259400,0.021804,2130,2856,15103,2925,2926,123
astar_h0,h(n)=0,3000,21272,0.002364,0,2999,99,30,1,826.313740,0.253233,0.248050,0.193500,0.369800,0.037653,2130,2856,15103,2925,2926,123
astar_euclidean,euclidean,3000,21272,0.002364,0,2999,99,30,1,826.313740,0.032000,0.027450,0.024400,0.079800,0.011566,388,565,2751,753,754,198
